239, 348
348, 707
707, 871
871, 152
152, 892
892, 790
790, 986
986, 361
361, 270
270, 387
387, 52
52, 459
459, 326
326, 762
762, 484
484, 388
388, 846
846, 751
751, 232
232, 498
498, 11
11, 384
384, 631
631, 926
926, 920
920, 15
15, 718
718, 553
553, 612
612, 462
462, 112
112, 720
720, 445
445, 560
560, 445
445, 128
128, 110
110, 154
154, 454
454, 767
767, 653
653, 677
677, 809
809, 520
520, 461
461, 392
392, 384
384, 649
649, 790
790, 687
687, 906
906, 272
272, 525
525, 165
165, 207
207, 279
279, 453
453, 319
319, 700
700, 407
407, 234
234, 102
102, 140
140, 241
241, 464
464, 657
657, 65
65, 293
293, 886
886, 147
147, 711
711, 965
965, 252
252, 185
185, 908
908, 193
193, 722
722, 679
679, 712
712, 338
338, 488
488, 244
244, 721
721, 676
676, 338
338, 849
849, 903
903, 114
114, 629
629, 881
881, 116
116, 986
986, 23
23, 702
702, 57
57, 397
397, 987
987, 395
395, 908
