521, 147
147, 21
21, 795
795, 668
668, 970
970, 11
11, 230
230, 729
729, 113
113, 94
94, 157
157, 294
294, 199
199, 573
573, 938
938, 404
404, 434
434, 277
277, 234
234, 268
268, 818
818, 438
438, 427
427, 388
388, 87
87, 687
687, 758
758, 384
384, 707
707, 201
201, 314
314, 936
936, 784
784, 613
613, 168
168, 176
176, 404
404, 831
831, 900
900, 696
696, 466
466, 274
274, 901
901, 50
50, 988
988, 953
953, 540
540, 675
675, 2
2, 421
421, 661
661, 313
313, 693
693, 343
343, 505
505, 261
261, 323
323, 524
524, 508
508, 451
451, 967
967, 807
807, 684
684, 530
530, 226
226, 603
603, 382
382, 183
183, 408
408, 123
123, 400
400, 637
637, 449
449, 715
715, 128
128, 734
734, 194
194, 20
20, 876
876, 884
884, 295
295, 173
173, 612
612, 674
674, 301
301, 336
336, 910
910, 411
411, 844
844, 138
138, 48
48, 744
744, 682
682, 419
419, 520
520, 132
132, 883
883, 447
447, 595
595, 228
228, 250
250, 617
617, 730
730, 468
468, 178
178, 316
316, 306
306, 453
453, 98
98, 743
743, 601
601, 272
272, 634
634, 977
977, 600
600, 947
947, 996
996, 230
230, 255
255, 278
278, 349
349, 817
817, 644
644, 426
426, 519
519, 857
857, 89
89, 190
190, 626
626, 336
336, 440
440, 623
623, 891
891, 315
315, 469
469, 665
665, 726
726, 274
274, 979
979, 362
362, 803
803, 316
316, 644
644, 916
916, 140
140, 999
999, 868
868, 27
27, 757
757, 709
709, 210
210, 511
511, 196
196, 863
863, 593
593, 666
666, 882
882, 680
680, 78
78, 853
853, 307
307, 627
627, 799
799, 660
660, 946
946, 945
945, 281
281, 107
107, 928
928, 434
434, 691
691, 972
972, 91
91, 562
562, 81
81, 294
294, 290
290, 44
44, 427
427, 790
790, 177
177, 128
128, 494
494, 200
200, 284
284, 766
766, 710
710, 596
596, 975
975, 386
386, 108
108, 657
657, 868
868, 358
358, 816
816, 552
552, 938
938, 885
885, 615
